gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
6196023631	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/348151172	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.18978	-80.144736	5.0						2025-07-27T09:21:06	27	7	2025	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	348151172		Taina Pruitt	2026-04-07T21:19:19	CC_BY_NC_4_0	Taina Pruitt	Taina Pruitt			2026-04-18T08:16:14.221Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6195743063	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/348057260	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.0204	-80.227487	4.0						2026-03-31T16:36:35	31	3	2026	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	348057260		Josiah Londerée	2026-04-07T13:38:08	CC_BY_NC_4_0	emarie82	emarie82			2026-04-18T10:03:05.853Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6195730199	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/348041740	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.047285	-80.357075	54.0						2026-04-06T12:59:14	6	4	2026	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	348041740		Melissa	2026-04-07T11:56:45	CC_BY_NC_4_0	Melissa	Melissa			2026-04-18T10:03:04.705Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6195727773	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/349102031	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.166161	-80.097969	4.0						2026-04-09T09:57:34	9	4	2026	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	349102031		Ian Roche	2026-04-11T23:16:25	CC_BY_NC_4_0	Ian Roche	Ian Roche			2026-04-18T08:16:43.029Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6195712220	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/349311131	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.310945	-80.160861	1.0						2026-04-12T14:19	12	4	2026	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	349311131		Sam O'Dell	2026-04-13T01:06:18	CC_BY_NC_4_0	karmina_i	karmina_i			2026-04-18T08:16:54.020Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6195463774	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/348482388	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.27773	-80.214762	2.0						2026-04-09T10:32:11	9	4	2026	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	348482388		Henry Steig	2026-04-10T01:14:38	CC_BY_NC_4_0	broward_naturalist	broward_naturalist			2026-04-18T08:16:20.411Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6195439352	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/348192757	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.270989	-80.279512	43.0						2026-02-27T14:03	27	2	2026	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	348192757		Josiah Londerée	2026-04-08T14:13:00	CC_BY_NC_4_0	ya885778	ya885778			2026-04-18T10:03:11.778Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6188562322	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/347376922	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.139754	-80.214202	5.0						2026-03-31T19:21:25	31	3	2026	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	347376922		Dianne Ferguson	2026-04-04T22:21:45	CC_BY_NC_4_0	Dianne Ferguson	Dianne Ferguson			2026-04-18T08:15:58.010Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6188514047	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/347368929	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Euglossa	Euglossa dilemma		SPECIES	Euglossa dilemma Bembé & Eltz, 2011	Euglossa dilemma		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.139758	-80.214212	5.0						2026-01-04T14:04:28	4	1	2026	9167800	9167800	HUMAN_OBSERVATION	iNaturalist	Observations	347368929		Dianne Ferguson	2026-04-04T21:49:27	CC_BY_NC_4_0	Dianne Ferguson	Dianne Ferguson			2026-04-18T10:03:00.147Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6188462496	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/347247712	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.317736	-80.083481							2026-04-03T13:31:36	3	4	2026	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	347247712		christinead	2026-04-04T13:57:13	CC_BY_NC_4_0	christinead	christinead			2026-04-18T08:16:01.142Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6188403451	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/347249842	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.318439	-80.084078							2026-04-03T13:42:11	3	4	2026	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	347249842		christinead	2026-04-04T14:06:11	CC_BY_NC_4_0	christinead	christinead			2026-04-18T08:15:56.858Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6188330644	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/347344161	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.104686	-80.263062	10.0						2026-04-03T23:25:22	3	4	2026	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	347344161		bdagley	2026-04-05T01:29:29	CC_BY_NC_4_0	skylarhaley	skylarhaley			2026-04-18T10:02:54.722Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6188148242	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/346830212	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.047303	-80.357063	48.0						2026-04-02T13:56:58	2	4	2026	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	346830212		Melissa	2026-04-02T18:21:30	CC_BY_NC_4_0	Melissa	Melissa			2026-04-18T08:15:55.085Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6188020206	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/346369899	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.110959	-80.113416	59.0						2026-03-30T22:29:50	30	3	2026	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	346369899		jasonk10	2026-03-31T14:10:28	CC_BY_NC_4_0	jasonk10	jasonk10			2026-04-18T10:02:43.736Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6187935839	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/346851610	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera		SPECIES	Apis mellifera Linnaeus, 1758	Apis mellifera		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.177209	-80.262421	29891.0						2026-04-02T16:09	2	4	2026	1341976	1341976	HUMAN_OBSERVATION	iNaturalist	Observations	346851610		John S. Ascher	2026-04-06T03:08:54	CC_BY_NC_4_0	Natalia Cifuentes Castellanos	Natalia Cifuentes Castellanos			2026-04-18T10:02:51.365Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
