id,Park name,Observed on,Taxon name,URL,Number of observation photo,Image number,Tagged by,Flower_Genus,Flower_species,Flower_IDer,FLW_ID_Conf,Notes,project
1802,Broward_Pine Island Ridge Natural Area,3/1/2009,Danaus gilippus berenice,http://www.inaturalist.org/observations/1802,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
1805,Broward_Pine Island Ridge Natural Area,3/1/2009,Erynnis horatius,http://www.inaturalist.org/observations/1805,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
1808,Broward_Pine Island Ridge Natural Area,3/1/2009,Heraclides cresphontes,http://www.inaturalist.org/observations/1808,NA,NA,Thomas,Kalanchoe,pinnata,Toni,100%,NA,NA
1813,Broward_Pine Island Ridge Natural Area,3/1/2009,Danaus plexippus,http://www.inaturalist.org/observations/1813,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
1814,Broward_Tree Tops Park,3/1/2009,Eumaeus atala,http://www.inaturalist.org/observations/1814,1,1,Lucas,Bidens,alba,Corey,100%,NA,Thomas
1886,Broward_Pine Island Ridge Natural Area,3/13/2009,Marpesia petreus,http://www.inaturalist.org/observations/1886,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
1950,Broward_Pine Island Ridge Natural Area,3/15/2009,Hylephila phyleus,http://www.inaturalist.org/observations/1950,NA,NA,Thomas,Ludwigia,NA,Toni,100%,NA,NA
3338,Broward_Pine Island Ridge Natural Area,9/13/2009,Anartia jatrophae,http://www.inaturalist.org/observations/3338,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
3339,Broward_Pine Island Ridge Natural Area,9/13/2009,Dione vanillae,http://www.inaturalist.org/observations/3339,NA,NA,Thomas,Hamelia,patens,Toni,100%,NA,NA
11352,Broward_Pine Island Ridge Natural Area,2/14/2011,Erynnis horatius,http://www.inaturalist.org/observations/11352,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
11355,Broward_Long Key Natural Area and Nature Center,2/14/2011,Heliconius charithonia,http://www.inaturalist.org/observations/11355,1,1,Tessa,Salvia,coccinia,Jake,100%,NA,Thomas
