"poly_id","n_apidae","n_hb","percentageHB"
"Broward_Anne Kolb Nature Center",11,11,100
"Broward_CB Smith Park",24,18,75
"Broward_Central Broward Regional Park",7,4,57.1428571428571
"Broward_Crystal Lake Sand Pine Scrub",6,5,83.3333333333333
"Broward_Fern Forest Nature Center",16,10,62.5
"Broward_Helene Klein Pineland Preserve",6,4,66.6666666666667
"Broward_Highlands Scrub Natural Area",32,20,62.5
"Broward_Long Key Natural Area and Nature Center",47,33,70.2127659574468
"Broward_Markham Park",56,37,66.0714285714286
"Broward_Military Trail Nature Area",26,13,50
"Broward_Miramar Pineland Natural Area",10,2,20
"Broward_Quiet Waters Park",70,41,58.5714285714286
"Broward_Snake Warriors Island",10,5,50
"Broward_Topeekeegee Yugnee Park",6,6,100
"Broward_Tradewinds Park",26,13,50
"Broward_Tree Tops Park",25,9,36
"Broward_Vista View Park",39,27,69.2307692307692
"Coconut Creek_George S. Gerber Memorial Park",8,7,87.5
"Davie_Robbins Preserve",6,3,50
"Miramar_Vizcaya Park",8,8,100
"Plantation_Hoffman Park",34,14,41.1764705882353
"Plantation_Plantation Preserve Park & Linear Trail",15,15,100
"Sunrise_Oak Hammock-Passive Park",7,7,100
