"","hb_raw","hb_percent","interaction_sum","log_interaction_sum","connectance","web_asymmetry","nestedness","modularity","H2","linkage_density","interaction_evenness"
"hb_raw",1,1,-0.012222587326004,-0.0810542637635827,-0.0218977417126258,-0.604207927234549,0.0160364338249427,0.154770291894061,-0.278629990440609,-0.170880611205425,-0.149040139562578
"hb_percent",1,1,-0.012222587326004,-0.0810542637635827,-0.0218977417126257,-0.604207927234549,0.0160364338249428,0.154770291894061,-0.278629990440609,-0.170880611205425,-0.149040139562578
"interaction_sum",-0.012222587326004,-0.012222587326004,1,0.940634081053669,-0.543480722412622,0.0652808920566393,-0.780162895266011,-0.588697981606871,0.150775006429412,0.836985761441496,0.395458541577081
"log_interaction_sum",-0.0810542637635827,-0.0810542637635827,0.940634081053669,1,-0.572614646297999,0.117398430862757,-0.889270098376457,-0.738272902979288,0.305057511735845,0.916759875268271,0.462757708292349
"connectance",-0.0218977417126258,-0.0218977417126257,-0.543480722412622,-0.572614646297999,1,0.242554150529684,0.77567612255455,-0.0120122793230799,0.233385507609355,-0.448238712537716,0.234834043993624
"web_asymmetry",-0.604207927234549,-0.604207927234549,0.0652808920566393,0.117398430862757,0.242554150529684,1,0.0463019796205406,-0.231477064048514,0.21522274774756,0.403591280931493,0.692119332195824
"nestedness",0.0160364338249427,0.0160364338249428,-0.780162895266011,-0.889270098376457,0.77567612255455,0.0463019796205406,1,0.558421972520862,-0.153369411565217,-0.831407449943078,-0.199789592589864
"modularity",0.154770291894061,0.154770291894061,-0.588697981606871,-0.738272902979288,-0.0120122793230799,-0.231477064048514,0.558421972520862,1,-0.594024746659319,-0.72075919231523,-0.613897315122404
"H2",-0.278629990440609,-0.278629990440609,0.150775006429412,0.305057511735845,0.233385507609355,0.21522274774756,-0.153369411565217,-0.594024746659319,1,0.280135190325834,0.239081931338378
"linkage_density",-0.170880611205425,-0.170880611205425,0.836985761441496,0.916759875268271,-0.448238712537716,0.403591280931493,-0.831407449943078,-0.72075919231523,0.280135190325834,1,0.638598905894752
"interaction_evenness",-0.149040139562578,-0.149040139562578,0.395458541577081,0.462757708292349,0.234834043993624,0.692119332195824,-0.199789592589864,-0.613897315122404,0.239081931338378,0.638598905894752,1
