"poly_id","n_apidae","n_hb","percentageHB","park_join","park_name","n_plants","n_pollinators","n_links","interaction_sum","connectance","web_asymmetry","nestedness","modularity","H2","linkage_density","interaction_evenness","n_records","hb_percent","hb_raw","hb_bounded","hb_logit","hb_arcsine","log_interaction_sum"
"Broward_Anne Kolb Nature Center",11,11,100,"broward_anne kolb nature center","Broward_Anne Kolb Nature Center",15,12,20,21,0.111111111111111,-0.111111111111111,21.3753897554405,0.723356009070295,0.156802637393764,2.01594392201255,0.573566949630371,21,100,1,0.999,6.90675477864855,1.5707963267949,3.09104245335832
"Broward_Fern Forest Nature Center",16,10,62.5,"broward_fern forest nature center","Broward_Fern Forest Nature Center",14,12,21,29,0.125,-0.0769230769230769,18.4284271666569,0.557669441141498,0.468630180558123,2.60220507404718,0.563872678122487,29,62.5,0.625,0.625,0.510825623765991,0.911738290968488,3.40119738166216
"Broward_Long Key Natural Area and Nature Center",47,33,70.2127659574468,"broward_long key natural area and nature center","Broward_Long Key Natural Area and Nature Center",12,20,35,40,0.145833333333333,0.25,19.1444793757611,0.539375,0.218953898317729,3.83216065492032,0.639069915819974,40,70.2127659574468,0.702127659574468,0.702127659574468,0.857450231851222,0.993480418549074,3.71357206670431
"Broward_Markham Park",56,37,66.0714285714286,"broward_markham park","Broward_Markham Park",31,32,82,126,0.0826612903225806,0.0158730158730159,8.41287479388977,0.526518014613252,0.315453247562001,4.73359989981083,0.603165960642981,126,66.0714285714286,0.660714285714286,0.660714285714286,0.666478933477785,0.949017028577019,4.84418708645859
"Broward_Miramar Pineland Natural Area",10,2,20,"broward_miramar pineland natural area","Broward_Miramar Pineland Natural Area",7,11,17,26,0.220779220779221,0.222222222222222,28.3395072504252,0.53698224852071,0.589956812843369,2.77741603623348,0.617429630763276,26,20,0.2,0.2,-1.38629436111989,0.463647609000806,3.29583686600433
"Broward_Quiet Waters Park",70,41,58.5714285714286,"broward_quiet waters park","Broward_Quiet Waters Park",14,28,53,85,0.135204081632653,0.333333333333333,11.1482907302364,0.488996539792387,0.41223409573237,5.94517890799706,0.633532486500772,85,58.5714285714286,0.585714285714286,0.585714285714286,0.346276236717835,0.871537925261459,4.45434729625351
"Broward_Tradewinds Park",26,13,50,"broward_tradewinds park","Broward_Tradewinds Park",16,19,31,36,0.101973684210526,0.0857142857142857,10.335717727713,0.618055555555555,0.302871181269185,3.8407569544784,0.59059419695948,36,50,0.5,0.5,0,0.785398163397448,3.61091791264422
"Broward_Tree Tops Park",25,9,36,"broward_tree tops park","Broward_Tree Tops Park",12,18,29,40,0.134259259259259,0.2,15.0546296033681,0.525,0.285618521041888,3.53845126188455,0.596407171486869,40,36,0.36,0.36,-0.575364144903562,0.643501108793284,3.71357206670431
"Broward_Vista View Park",39,27,69.2307692307692,"broward_vista view park","Broward_Vista View Park",6,8,10,10,0.208333333333333,0.142857142857143,32.2865496703025,0.7,0,1.8,0.594798639106067,10,69.2307692307692,0.692307692307692,0.692307692307692,0.810930216216327,0.982793723247329,2.39789527279837
"Davie_Robbins Preserve",6,3,50,"davie_robbins preserve","Davie_Robbins Preserve",9,11,14,14,0.141414141414141,0.1,29.4458932346942,0.75,0,1.71428571428571,0.574317409705421,14,50,0.5,0.5,0,0.785398163397448,2.70805020110221
"Plantation_Hoffman Park",34,14,41.1764705882353,"plantation_hoffman park","Plantation_Hoffman Park",7,14,16,19,0.163265306122449,0.333333333333333,26.5440130553249,0.67590027700831,0.557885891302259,2.62751959837441,0.594453593948283,19,41.1764705882353,0.411764705882353,0.411764705882353,-0.356674943938732,0.696698361177263,2.99573227355399
"Plantation_Plantation Preserve Park & Linear Trail",15,15,100,"plantation_plantation preserve park & linear trail","Plantation_Plantation Preserve Park & Linear Trail",8,8,15,21,0.234375,0,26.8542880407794,0.53968253968254,0.494194658669863,2.32078934627237,0.602175697632966,21,100,1,0.999,6.90675477864855,1.5707963267949,3.09104245335832
