"interaction_id","plant_taxon","pollinator_taxon","rho","p.value","total_count","n_parks_present","p_adj_fdr"
"Richardia grandiflora __ Hylephila phyleus","Richardia grandiflora","Hylephila phyleus",-0.537477234822849,0.031779722509253,15,7,0.867195183583059
"Bidens alba __ Cymaenes tripunctus","Bidens alba","Cymaenes tripunctus",-0.529365424357296,0.034970899594692,11,6,0.867195183583059
"Bidens alba __ Syngamia florella","Bidens alba","Syngamia florella",-0.511716678663477,0.0427462258608925,8,5,0.867195183583059
"Hamelia patens __ Apis mellifera","Hamelia patens","Apis mellifera",0.509902080512188,0.0436135172821649,18,5,0.867195183583059
"Bidens alba __ Erynnis horatius","Bidens alba","Erynnis horatius",-0.490945518021908,0.0534797793181189,47,12,0.867195183583059
"Bidens alba __ Eumaeus atala","Bidens alba","Eumaeus atala",-0.486705167517284,0.0558960551642788,10,4,0.867195183583059
"Richardia grandiflora __ Thorybes dorantes","Richardia grandiflora","Thorybes dorantes",-0.433670252691937,0.093309593096,14,6,0.867195183583059
"Bidens alba __ Lerodea eufala","Bidens alba","Lerodea eufala",-0.424476359978009,0.10126371434657,1,1,0.867195183583059
"Bidens alba __ Megachile albitarsis","Bidens alba","Megachile albitarsis",-0.424476359978009,0.10126371434657,2,1,0.867195183583059
"Emilia sonchifolia __ Cymaenes tripunctus","Emilia sonchifolia","Cymaenes tripunctus",-0.424476359978009,0.10126371434657,1,1,0.867195183583059
"Emilia sonchifolia __ Erynnis horatius","Emilia sonchifolia","Erynnis horatius",-0.424476359978009,0.10126371434657,1,1,0.867195183583059
"Heterotheca subaxillaris __ Agapostemon splendens","Heterotheca subaxillaris","Agapostemon splendens",-0.424476359978009,0.10126371434657,2,1,0.867195183583059
"Heterotheca subaxillaris __ Halictus poeyi","Heterotheca subaxillaris","Halictus poeyi",-0.424476359978009,0.10126371434657,1,1,0.867195183583059
"Phyla nodiflora __ Hylephila phyleus","Phyla nodiflora","Hylephila phyleus",-0.424476359978009,0.10126371434657,1,1,0.867195183583059
"Polygonella polygama __ Chrysanthrax cypris","Polygonella polygama","Chrysanthrax cypris",-0.424476359978009,0.10126371434657,1,1,0.867195183583059
"Richardia grandiflora __ Agapostemon splendens","Richardia grandiflora","Agapostemon splendens",-0.424476359978009,0.10126371434657,1,1,0.867195183583059
"Richardia grandiflora __ Polites otho","Richardia grandiflora","Polites otho",-0.424476359978009,0.10126371434657,1,1,0.867195183583059
"Richardia grandiflora __ Utetheisa ornatrix","Richardia grandiflora","Utetheisa ornatrix",-0.424476359978009,0.10126371434657,1,1,0.867195183583059
"Sida ulmifolia __ Lerodea eufala","Sida ulmifolia","Lerodea eufala",-0.424476359978009,0.10126371434657,1,1,0.867195183583059
"Spermacoce verticillata __ Microbembex monodonta","Spermacoce verticillata","Microbembex monodonta",-0.424476359978009,0.10126371434657,1,1,0.867195183583059
"Waltheria indica __ Strymon istapa","Waltheria indica","Strymon istapa",-0.424476359978009,0.10126371434657,1,1,0.867195183583059
"Spermacoce verticillata __ Apis mellifera","Spermacoce verticillata","Apis mellifera",0.42317939264053,0.102423141181616,9,4,0.867195183583059
"Richardia grandiflora __ Dione vanillae","Richardia grandiflora","Dione vanillae",-0.411383814443557,0.113400665922459,25,8,0.867195183583059
"Pentas lanceolata __ Danaus plexippus","Pentas lanceolata","Danaus plexippus",-0.37282185960072,0.15496628183477,2,2,0.867195183583059
"Stylosanthes hamata __ Eurema daira","Stylosanthes hamata","Eurema daira",-0.367879511980941,0.160947298675871,1,1,0.867195183583059
"Asclepias curassavica __ Dryas iulia","Asclepias curassavica","Dryas iulia",-0.367879511980941,0.160947298675871,1,1,0.867195183583059
"Bidens alba __ Alypia wittfeldii","Bidens alba","Alypia wittfeldii",-0.367879511980941,0.160947298675871,1,1,0.867195183583059
"Bidens alba __ Heliconius charithonia tuckeri","Bidens alba","Heliconius charithonia tuckeri",-0.367879511980941,0.160947298675871,1,1,0.867195183583059
"Bidens alba __ Strymon melinus","Bidens alba","Strymon melinus",-0.367879511980941,0.160947298675871,1,1,0.867195183583059
"Chrysobalanus icaco __ Dione vanillae","Chrysobalanus icaco","Dione vanillae",-0.367879511980941,0.160947298675871,1,1,0.867195183583059
"Phyla nodiflora __ Pyrausta tyralis","Phyla nodiflora","Pyrausta tyralis",-0.367879511980941,0.160947298675871,1,1,0.867195183583059
"Phyla nodiflora __ Syngamia florella","Phyla nodiflora","Syngamia florella",-0.367879511980941,0.160947298675871,1,1,0.867195183583059
"Pontederia cordata __ Agapostemon splendens","Pontederia cordata","Agapostemon splendens",-0.367879511980941,0.160947298675871,1,1,0.867195183583059
"Pontederia cordata __ Ascia monuste","Pontederia cordata","Ascia monuste",-0.367879511980941,0.160947298675871,1,1,0.867195183583059
"Psychotria nervosa __ Siproeta stelenes","Psychotria nervosa","Siproeta stelenes",-0.367879511980941,0.160947298675871,1,1,0.867195183583059
"Richardia grandiflora __ Syngamia florella","Richardia grandiflora","Syngamia florella",-0.367879511980941,0.160947298675871,2,1,0.867195183583059
"Sida ulmifolia __ Dione vanillae","Sida ulmifolia","Dione vanillae",-0.367879511980941,0.160947298675871,1,1,0.867195183583059
"Spermacoce verticillata __ Hemiargus ceraunus","Spermacoce verticillata","Hemiargus ceraunus",-0.356492758814379,0.175310599918788,5,2,0.867195183583059
"Psychotria nervosa __ Heliconius charithonia","Psychotria nervosa","Heliconius charithonia",0.34141282425052,0.195602931645043,5,4,0.867195183583059
"Bacopa monnieri __ Phoebis statira","Bacopa monnieri","Phoebis statira",0.339581087982407,0.198167500688675,1,1,0.867195183583059
"Bidens Alba __ Euphoria sepulcralis","Bidens Alba","Euphoria sepulcralis",0.339581087982407,0.198167500688675,1,1,0.867195183583059
"Bidens Alba __ Heliconius charithonia","Bidens Alba","Heliconius charithonia",0.339581087982407,0.198167500688675,2,1,0.867195183583059
"Bidens Alba __ Junonia neildi","Bidens Alba","Junonia neildi",0.339581087982407,0.198167500688675,1,1,0.867195183583059
"Bidens Alba __ Leptotes cassius","Bidens Alba","Leptotes cassius",0.339581087982407,0.198167500688675,1,1,0.867195183583059
"Bidens alba __ Junonia neildi","Bidens alba","Junonia neildi",0.339581087982407,0.198167500688675,2,1,0.867195183583059
"Coccoloba uvifera __ Heliconius charithonia","Coccoloba uvifera","Heliconius charithonia",0.339581087982407,0.198167500688675,1,1,0.867195183583059
"Coccoloba uvifera __ Phocides pigmalion","Coccoloba uvifera","Phocides pigmalion",0.339581087982407,0.198167500688675,1,1,0.867195183583059
